word,lesson,audio,pos,etymology,conj_past,conj_pres,conj_fut,conj_imperf,trans_cn,trans_ja,trans_en,trans_fr,example,exam_cn,exam_ja,exam_en,exam_fr
རང་།,V01-L07,,Pron.,,,,,,你,君,you,toi ; tu,,,,,
ཐུགས་རྗེ་ཆེ།,V01-L07,,Expres.,,,,,,谢谢,ありがとう,thank you,merci,,,,,
ཐུགས་རྗེ་གནང་།,V01-L07,,Expres.,,,,,,谢谢,ありがとう,thank you,merci,,,,,
པོ་ཏ་ལ།,V01-L07,,P.N.,,,,,,布达拉宫,ポタラ宮,Potala Palace,Palais du Potala,,,,,
རྩེ་པོ་ཏ་ལ།,V01-L07,,P.N.,,,,,,布达拉宫,ポタラ宮,Potala Palace,Palais du Potala,,,,,
རྩེ་ཕོ་བྲང་།,V01-L07,,P.N.,,,,,,布达拉宫,ポタラ宮,Potala Palace,Palais du Potala,,,,,
ནོར་བུ་གླིང་ཁ།,V01-L07,,P.N.,,,,,,罗布林卡,ノルブリンカ,Norbulingka,Norbulingka,,,,,
གཙུག་ལག་ཁང་།,V01-L07,,P.N.,,,,,,,,Tsuglakhang Palace,Palais du Tsuglakhan,,,,,
ཇོ་ཁང་།,V01-L07,,P.N.,,,,,,大昭寺,トゥルナン寺,Jokhang Temple,Temple du Jokhang,,,,,
ར་མོ་ཆེ།,V01-L07,,P.N.,,,,,,小昭寺,ラモチェ寺,Ramoche Temple,Temple du Ramiche,,,,,
སེ་ར།,V01-L07,,P.N.,,,,,,沙拉寺,サラ寺,Sara Temple,Temple du Sara,,,,,
གླིང་སྐོར།,V01-L07,,P.N.,,,,,,外廓,,Lingkhor,Lingkhor,,,,,
ཨ་མདོ།,V01-L07,,P.N.,,,,,,安多,アムド,Amdo,Amdo,,,,,
དབུས་གཙང་།,V01-L07,,P.N.,,,,,,卫藏,ウー・ツァン,Ü-Tsang,Ü-Tsang,,,,,
རྒྱ་ནག།,V01-L07,,P.N.,,,,,,中国,中国,China,Chine,,,,,
འབྲུག་ཡུལ།,V01-L07,,P.N.,,,,,,不丹,ブタン,Bhoutan,Bhoutan,,,,,
བལ་ཡུལ།,V01-L07,,P.N.,,,,,,尼泊尔,ネパール,Nepal,Népal,,,,,
སོག་ཡུལ།,V01-L07,,P.N.,,,,,,蒙古,モンゴル,Mongolia,Mongolia,,,,,
སོག་པོ།,V01-L07,,P.N.,,,,,,蒙古,モンゴル,Mongolia,Mongolia,,,,,
གཟའ་འཁོར།,V02-L02,,N.,གཟའ་(planet) + འཁོར་(turn),,,,,星期,週,week,semaine,,,,,
མདུན་ལམ།,V02-L02,,N.,མདུན་(front)+ལམ་(road),,,,,前途,進路,future,avenir ; perspective d'avenir,,,,,
གྲོ་མ་འབྲས་སིལ།,V02-L02,,N.,,,,,,,,,riz au beurre et aux bulbes de potentille,,,,,
བག་ལེབ།,V02-L02,,N.,བག་(dough)+ལེབ་(dish),,,,,饼,餅,,pain,,,,,
ཤ་བག་ལེབ།,V02-L02,,N.,ཤ་(meat)+བག་(dough)+ལེབ་(dish),,,,,肉饼,肉餅,meat pie,beignet à l viande,,,,,
མ་བྱན།,V02-L02,,N.,,,,,,厨师,料理人,cook,cuisiner,,,,,
ནད་པ།,V02-L02,,N.,,,,,,病人,患者,patient,un(e) malade,,,,,
མོ་ཊ།,V02-L02,,N.,,,,,,汽车,車,car,voiture,,,,,
འཚོ་བ།,V02-L02,,N.,,,,,,生活,生活,life,vie ; existence ; conditions de vie,,,,,
འགྲམ།,V02-L02,,Postp.,,,,,,边,～沿い,along,au bord de ; joue,,,,,
སྐད་གྲགས་ཆེན་པོ།,V02-L02,,Adj.,སྐད་(voice)+གྲགས་(resound)+ཆེན་པོ་(big),,,,,闻名,有名な,famous,célèbre,,,,,
མགྱོགས་པོ།,V02-L02,,Adj.,,,,,,快,速い,fast,rapide,,,,,
གསལ་པོ,V02-L02,,Adj.,,,,,,清楚,明るい,clear,clair,,,,,
སྔ་པོ།,V02-L02,,Adj.,,,,,,早,早めに,early,tôt,,,,,
བརྟན་པོ།,V02-L02,,Adv.,,,,,,确定,,sure; certain,sûr ; certain ; stable ; solide,,,,,
ཏན་ཏན།,V02-L02,,Adv.,,,,,,肯定,きっと,certainly,sûr ; certain,,,,,
གཏན་གཏན།,V02-L02,,Adv.,,,,,,肯定,きっと,certainly,sûr ; certain,,,,,
ཕལ་ཆེར།,V02-L02,,Adv.,,,,,,可能,多分,maybe,peut-être,,,,,
གཅིག་བྱས་ན།,V02-L02,,Adv.,,,,,,可能,多分,maybe,peut-être,,,,,
ཡར།,V02-L02,,,,,,,,向上,,,vers le haut,,,,,
མར།,V02-L02,,,,,,,,向下,,,vers le bas,,,,,
འཚོ་བ་བསྐྱལ་བ།,V02-L02,,V.,,,,,,活,生きる,live,mener une existence,,,,,
མི་ཚེ་བསྐྱལ་བ།,V02-L02,,V.,,,,,,生活,暮らす,live,mener une vie,,,,,
སྦྱངས་པ།,V02-L02,,V.,,,,,,学习,学ぶ,learn,apprendre,,,,,
སློབ་སྦྱོང་བྱེད་པ།,V02-L02,,V.,,སློབ་སྦྱོང་བྱས་པ།,,,,研究,研究する,study,étudier ; faire des études,,,,,
ཁྱད་ཆོས།,V02-L03,,N.,,,,,,特征；特点,特徴、特性,characteristic; peculiarity,caractéristique ; particularité,,,,,
ཁྱད་མཚར་པོ།,V02-L03,,Adj.,ཁྱད་(characteristic)+མཚར་པོ་(marverlous),,,,,古怪的；奇怪的,奇妙的、変な,strange,bizarre ; étrange,,,,,
གཤིས་ཀ,V02-L03,,N.,,,,,,本性；性格；个性,性質、性格,character; personnality,nature ; caractère ; personnalité,,,,,
སྤྱོད་པ།,V02-L03,,N.,,,,,,行为；举止,行動、態度,behaviour; conduct,comportement ; conduite,,,,,
དཀའ་ངལ།,V02-L03,,N.,དཀའ་(difficulty)+ངལ་(fatigue),,,,,困难,困難,difficulty,difficulté,,,,,
སེམས།,V02-L03,,N.,,,,,,精神,精神,spirit; heart,esprit ; cœur,,,,,
རྙོག་ཁྲ།,V02-L03,,N.,,,,,,问题,問題,problem,problème,,,,,
འཛིན་གྲྭ།,V02-L03,,N.,,,,,,班级；教室；课程,クラス、教室、授業,class; classroom; course,classe ; salle de classe ; cours,,,,,
༼ས་༽རྒྱ་ཆེན་པོ།,V02-L03,,Adj.,༼ས་༽(earth)+རྒྱ་(extend)+ཆེན་པོ་(big),,,,,广阔的；辽阔的,広い,vast; extensive,étendu; vaste,,,,,
སྡུག་ཆགས།,V02-L03,,Adj.,,,,,,坏的,悪い,bad,mauvais,,,,,
ལྗིད་པོ།,V02-L03,,Adj.,,,,,,重的,重い,heavy,lourd,,,,,
ལྗིད་ཁོག་ཚ་པོ།,V02-L03,,Adj.,ལྗིད་ཁོག་(heavy)+ཚ་པོ་(hot),,,,,重的,軽い,heavy,lourd,,,,,
ཡང་པོ།,V02-L03,,Adj.,,,,,,轻的,軽い,light,léger,,,,,
སྤུས་དག་པོ།,V02-L03,,Adj.,སྤུས་(quality)+དག་པོ་(pure),,,,,优质的,良品,high-quality,de qualité ; de bonne qualité,,,,,
མངར་མོ།,V02-L03,,Adj.,,,,,,甜的,甘い,sweet,sucré,,,,,
རྙོག་ཁྲ་ཚ་པོ།,V02-L03,,Adj.,རྙོག་ཁྲ་(problem)+ཚ་པོ་(hot),,,,,复杂的；有问题的,複雑な、問題的な,complicated; problematic,compliqué ; problématique,,,,,
སྐྱོ་པོ།,V02-L03,,Adj.,,,,,,贫穷的；弱的；有缺陷的,貧しい、弱い,poor; weak; deficient,pauvre ; faible ; déficient,,,,,
ལྷོད་ལྷོད།,V02-L03,,Adj.,,,,,,放松的、安静的,リラックス、静かな,relaxed; cool; quiet, relax ; cool ; tranquille,,,,,
ཉོབ་ཏོ།,V02-L03,,Adj.,,,,,,无力的,無力的な,limp; lethargic,mou ; léthargique,,,,,
འཇོན་པོ།,V02-L03,,Adj.,,,,,,有能力的；精力充沛的；高效的,効率的、能力がある,capable; efficient; energetic,capable ; énergique ; efficace,,,,,
ཧུར་བརྩོན་ཆེནཔོ།,V02-L03,,Adj.,ཧུར་བརྩོན་(effort)+ཆེནཔོ་(big),,,,,勤奋的；热情的,勤勉的、熱心的,hardworking; zealous,très travailleur ; zélé,,,,,
སྒྱིད་ལ་ངན་པོ།,V02-L03,,Adj.,སྒྱིད་(energy)+ལ་ངན་པོ་(bad),,,,,懒惰的,怠ける,lazy,paresseux,,,,,
དྲང་པོ།,V02-L03,,Adj.,,,,,,坦率的；正直的,率直、正直,frank; honest; direct,franc ; honnête ; droit,,,,,
ཁ་རི་ཁ་ཐུག,V02-L03,,Adj.,,,,,,尖刻的,さっくりする,direct; frank; caustic,direct ; franc ; mordant,,,,,
སྣང་བ་སྐྱིད་པོ།,V02-L03,,Adj.,སྣང་བ་(appearance)+སྐྱིད་པོ་(happy),,,,,快乐的；愉快的,楽しい,joyful; jovial,joyeux ; jovial,,,,,
ཆོབ་ཚ་པོ།,V02-L03,,Adj.,ཆོབ་(joke)+ཚ་པོ་(hot),,,,,滑稽的,面白い,funny; comical,drôle ; comique,,,,,
ཞེད་སྣང་ཚ་པོ།,V02-L03,,Adj.,ཞེད་(afraid)+སྣང་(appearance)+ཚ་པོ་(hot),,,,,可怕的,恐ろしい,frightening; fearsome,effrayant,,,,,
ཧམ་པ་ཚ་པོ།,V02-L03,,Adj.,ཧམ་པ་(greed)+ཚ་པོ་(hot),,,,,贪婪的,卑しい,greedy; avid; capricious,cupide ; avide ; capricieux ; insistant,,,,,
ཧམ་པ་ཆེན་པོ།,V02-L03,,Adj.,ཧམ་པ་(greed)+ཆེན་པོ་(big),,,,,贪婪的,卑しい,greedy; avid; capricious,cupide ; avide ; capricieux ; insistant,,,,,
སྤྱོད་པ་རྩུབ་པོ།,V02-L03,,Adj.,སྤྱོད་པ་(beaviour)+རྩུབ་པོ་(brusque),,,,,暴力的,暴力的な,violent; brusque; abrupt,violent ; brusque,,,,,
འཇམ་པོ།,V02-L03,,Adj.,,,,,,温柔的；友好的,優しい、親しい,gentle; smooth; kind,doux ; lisse ; gentil,,,,,
འདྲ་པོ།,V02-L03,,Adj.,,,,,,相似的,似ている,similar,semblable,,,,,
ནང་ནས།,V02-L03,,Postp.,ནང་(inside)+ནས(ablative),,,,,在……之中,～の中,among,parmi,,,,,
རང་འཇགས།,V02-L03,,Adv.,,,,,,又；再,また,same; again,même ; encore,,,,,
ལོགས་དགར།,V02-L03,,Adj.,ལོགས་(side)+དགར་(seperate),,,,,不同的；独特的,異なる,different; distinct; separate,différent ; distinct ; séparé,,,,,
ནང་བཞིན།,V02-L03,,Adv.,,,,,,同样,同じな,as much; also; as,autant ; aussi ; comme,,,,,
དཔེ་མི་སྲིད་པའི།,V02-L03,,Adv.,དཔེ་(example)+མི་སྲིད་པ(very impossible)+འི་(genitive),,,,,超级,超,super,super,,,,,
རྦད་དེ།,V02-L03,,Adv.,,,,,,完全地,完全に,completely,complètement,,,,,
ཤོས།,V02-L03,,Adv.,,,,,,最,最も,the most,le plus,,,,,
དཔོར་ན།,V02-L03,,Expres.,དཔོ(example)+ར་(dative/locative)+ན་(if),,,,,比如,例えば,for example,par exemple,,,,,
མ་གཏོགས།,V02-L03,,Postp.,མ་(negative)+གཏོགས་(included),,,,,只；除,しか,except; apart form; otherwise,hormis ; sauf ; à part ; sinon,,,,,
སྤྱིར་བཏང་།,V02-L03,,Adv.,,,,,,一般来说,普通は,in general,en général,,,,,
དངོས་གནས་བྱས་ན།,V02-L03,,Adv.,དངོས་གནས་(really)+བྱས་(do)+ན་(if),,,,,实际上,実に,in reality,en réalité,,,,,
རྒྱུག་པ།,V02-L03,,V.,,བརྒྱུགས།,,,,跑,走る,run,courir,,,,,
ཆོབ་བསླངས་པ།,V02-L03,,V.,ཆོབ་བསླངས་པ་,,ཆོབ་སློང་བ།,,,开玩笑,冗談する、笑わせる,joke; make laugh,faire des blagues ; faire rire ; faire de l'humour,,,,,
བྱམས་པོ་བྱེད་པ།,V02-L03,,V.,བྱམས་པོ་(affectionate)+བྱེད་པ་(do),,,,,善良,優しくする,be gentle,bien traiter ; être tendre ; avoir de la tendresse,,,,,
བསམས་པ།,V02-L03,,V.,,,སེམས་པ།,,,想,思う,think,penser,,,,,
ཁོང་ཁྲོ་ལང་བ།,V02-L03,,V.,ཁོང་ཁྲོ་(anger)+ལང་བ་(get up),ཁོང་ཁྲོ་ལངས་པ།,,,,生气,怒る、イライラする,get angry,se mettre en colère ; s'énerver,,,,,
